"file","bytes","mtime","md5"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/cluster_dendrogram.png",92664,"2026-09-05 13:04:06","b6bb222290e6b9c0caf5b9477fd3bfcd"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/cluster_summary.csv",335,"2026-09-05 13:04:06","72b22061b3707a4725909e084cac2f0b"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/comparison_table.csv",3400,"2026-09-05 13:04:06","e0c14d630d649f262fa3d7dfb240fe25"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/convergence_plot.png",394096,"2026-09-05 13:04:03","ff4eac63bd5eb7fb1ce56be685ab2e16"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/correlation_data.csv",1894,"2026-09-05 13:04:04","be4d17e4b46f6884e888fc5d2a2058ba"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/correlation_matrix.png",419278,"2026-09-05 13:04:04","f8d668a22aaa6ee75837f70cd27e549d"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/cost_vs_efficacy.png",192245,"2026-09-05 13:04:08","278cf69f2ef7b3c81651e9e7d55956ba"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/feasibility_score.png",173570,"2026-09-05 13:04:08","e60973dd5b065ca5ee184cecab7f400e"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/fig1_pk_profiles_top3.png",262892,"2026-09-05 13:04:11","9cb2c43122aa565468d3c27db7746339"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/fig2_pareto_front.png",339157,"2026-09-05 13:04:11","90867bbbdc73eff4b5a923b1606b4fd6"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/fig3_literature_comparison.png",292259,"2026-09-05 13:04:11","8619156dacc8e830fdfa968e25a6e1a3"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/fig4_enhancement_factors.png",219170,"2026-09-05 13:04:11","d872df140b4eb139321ef560d2e2a993"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/fig5_convergence_comparison.png",185809,"2026-09-05 13:04:11","8762d702d55c50286f231b58f300d6a5"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/fig6_radar_top3.png",138878,"2026-09-05 13:04:11","7aeb4fdbb1d27eb606df17f453103c06"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/fitness_ranking.png",163224,"2026-09-05 13:04:04","f790fa59bfecb6e8a598617a4e0073e7"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/ga_output.rds",27288,"2026-09-05 12:58:15","2f2fa674092405902061b654adb86347"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/global_summary.csv",755,"2026-09-05 13:04:09","bdccbc0ba6fc72fb667635a5a5d349df"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/heatmap_top10.png",311931,"2026-09-05 13:04:03","fd2602b58f9ceebc92c1185f13cc7075"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/manufacturing_cost.png",172271,"2026-09-05 13:04:08","e90a81d656b1cf7c7b36b735d9d59ab8"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/manufacturing_steps.csv",4537,"2026-09-05 13:04:08","7b378760efa82cd995e46b3699f29ae0"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/manufacturing_summary.csv",509,"2026-09-05 13:04:08","c41f06a44bc1ba35477f4c1016b27a8c"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/manuscript_table_final.csv",1032,"2026-09-05 13:04:11","5bb11efb35611324d462a0d90b2ba871"
