article_id,first_author,year,journal,title,doi,category,relevance,design,species,model_or_formation,key_findings,notes
1,Amidon GL,1995,Pharm Res,A theoretical basis for a biopharmaceutics drug classification,10.1023/A:1018932720621,BCS_foundation,foundation,paper,-,-,Defined BCS 4-class system based on solubility and permeability,Foundational reference for entire project
2,Asad M,2023,PLoS ONE,Self-emulsifying drug delivery systems: A versatile approach to enhance oral delivery of BCS class III drug via hydrophobic ion pairing,10.1371/journal.pone.0286668,formulation_oral,high,in_vitro,human,Tobramycin SEDDS + HIP,Log P improved 1500x; dissociation 20% at intestinal pH; classified tobramycin as BCS III,Critical - proves BCS III classification and HIP+SEDDS approach
3,Hill M,2019,J Funct Biomater,Formulation of antimicrobial tobramycin loaded PLGA nanoparticles via complexation with AOT,10.3390/jfb10020026,formulation_np,high,in_vitro,-,PLGA NPs + AOT complex,MIC maintained at 1.25 ug/mL; dose-dependent activity against P. aeruginosa,Proof of concept for nanoparticle delivery
4,Blanco-Cabra N,2022,NPJ Biofilms Microbiomes,Neutralization of ionic interactions by dextran-based single-chain nanoparticles improves tobramycin diffusion into mature biofilm,10.1038/s41522-022-00334-3,formulation_np,high,in_vitro,P. aeruginosa biofilm,KuDa-tob NPs neutralize charge; improved biofilm diffusion,Address biofilm penetration challenge
5,Li Y,2021,J Antimicrob Chemother,PK/PD evaluation of tobramycin in critically ill patients,10.1093/jac/dkab195,pk_modeling,high,popPK,human adult ICU,2-compartment PopPK (n=140),CL=3.27 L/h; V1=21.3L; CLCR covariate; CL reduced 50% vs normal,Key PK parameter source for PBPK validation
6,Ferreira A,2021,Life (MDPI),PBPK modeling and simulation of antibiotics,10.3390/life11111130,pk_modeling,medium,pbpk,human inpatients,GastroPlus PBPK model,Confirmed PBPK approach for aminoglycosides; clinical PK prediction,Validates PBPK methodology
7,Lukacova V,2010,Simulations Plus,PBPK model for prediction of tobramycin pulmonary absorption in children,-,pk_modeling,medium,pbpk,human pediatric,GastroPlus PBPK (adult + pediatric),Pulmonary absorption model; allometric scaling,First PBPK for tobramycin; pulmonary focus
8,Bohley M,2024,Adv Sci,Gastrointestinal permeation enhancers beyond sodium caprate and SNAC,10.1002/advs.202400843,permeation_enhancers,high,review,-,PEs oral delivery,Comprehensive review of next-gen permeation enhancers; C10, PPZ, SDC safety data,Key reference for permeability strategy
9,Khaled K,2026,Molecules,In vitro evaluation of novel nano-sized colloidal assemblies incorporating tobramycin ion pairs,10.3390/molecules31122139,formulation_np,high,in_vitro,P. aeruginosa,NCAs with tobramycin ion pairs,Enhanced lipophilicity and antimicrobial activity,Most recent formulation study
10,Muhammad A,2022,Lat Am J Pharm,Formulation and characterization of SEDDS to improve oral delivery of tobramycin,-,formulation_oral,medium,in_vitro,-,Tobramycin SEDDS,Proof of concept for SEDDS approach,Earlier SEDDS study
11,FDA,2021,FDA Guidance,M9 Biopharmaceutics Classification System-Based Biowaivers,-,regulatory,foundation,guidance,-,-,BCS biowaiver criteria for Class I and III,Regulatory framework reference
12,ICH,2019,ICH Guideline,M9 BCS-Based Biowaivers Step 4,-,regulatory,foundation,guidance,-,-,International harmonized BCS guidance,Regulatory framework reference
13,Smyth A,2005,Lancet,TOPIC study: once vs three-times daily tobramycin,10.1016/S0140-6736(05)17906-9,clinical,medium,rct,human CF,Once daily vs TID tobramycin,Once daily non-inferior; less nephrotoxicity,Clinical efficacy reference
14,Ramsey BW,1999,NEJM,Intermittent inhaled tobramycin in CF patients,10.1056/NEJM199901073400104,clinical,foundation,rct,human CF,Inhaled tobramycin 300mg BID 4wk on/off,Improved FEV1, decreased P. aeruginosa density,Standard of care reference for TOBI
15,Struiken STL,2024,J Clin Med,Evaluation of target attainment for tobramycin in CF,10.3390/jcm13092641,pd_target,high,poppk,human CF (children + adults),Target attainment analysis,Lower concentrations in children; supratherapeutic in adults,PD target validation
16,Maher S,2009,Adv Drug Deliv Rev,Safety and efficacy of sodium caprate in promoting oral drug absorption,10.1016/j.addr.2009.09.006,permeation_enhancers,high,review,-,C10 permeation enhancer,Well-characterized safety profile; clinical progression,Gold standard PE reference
17,Griesser J,2017,Int J Pharm,Hydrophobic ion pairing: Key to highly payloaded self-emulsifying peptide drug delivery systems,10.1016/j.ijpharm.2017.02.019,formulation_method,medium,review,-,HIP for SEDDS,HIP methodology for hydrophilic drugs,Methodology reference for HIP
18,Bonengel S,2018,J Control Release,Impact of different hydrophobic ion pairs of octreotide on oral bioavailability in pigs,10.1016/j.jconrel.2018.01.012,formulation_oral,medium,in_vivo,porcine,Octreotide HIP,In vivo validation of HIP approach,Translational reference
19,Wikipedia,2026,Encyclopedia,Biopharmaceutics Classification System,-,BCS_foundation,low,review,-,-,BCS overview and class definitions,Background reference
20,Volpe DA,2022,FDA Presentation,BCS Methodology: Solubility Permeability & Dissolution,-,regulatory,medium,presentation,-,-,FDA BCS methodology overview,Practical classification guidance
